Country Code,Country,Continent,Sub Region
AFG,Afghanistan,Asia,Southern Asia
ALA,Åland Islands,Europe,Northern Europe
ALB,Albania,Europe,Southern Europe
DZA,Algeria,Africa,Northern Africa
ASM,American Samoa,Oceania,Polynesia
AND,Andorra,Europe,Southern Europe
AGO,Angola,Africa,Middle Africa
AIA,Anguilla,Americas,Caribbean
ATG,Antigua and Barbuda,Americas,Caribbean
ARG,Argentina,Americas,South America
ARM,Armenia,Asia,Western Asia
ABW,Aruba,Americas,Caribbean
AUS,Australia,Oceania,Australia and New Zealand
AUT,Austria,Europe,Western Europe
AZE,Azerbaijan,Asia,Western Asia
BHS,Bahamas,Americas,Caribbean
BHR,Bahrain,Asia,Western Asia
BGD,Bangladesh,Asia,Southern Asia
BRB,Barbados,Americas,Caribbean
BLR,Belarus,Europe,Eastern Europe
BEL,Belgium,Europe,Western Europe
BLZ,Belize,Americas,Central America
BEN,Benin,Africa,Western Africa
BMU,Bermuda,Americas,Northern America
BTN,Bhutan,Asia,Southern Asia
BOL,Bolivia (Plurinational State of),Americas,South America
BES,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean
BIH,Bosnia and Herzegovina,Europe,Southern Europe
BWA,Botswana,Africa,Southern Africa
BRA,Brazil,Americas,South America
BRN,Brunei Darussalam,Asia,South-Eastern Asia
BGR,Bulgaria,Europe,Eastern Europe
BFA,Burkina Faso,Africa,Western Africa
BDI,Burundi,Africa,Eastern Africa
KHM,Cambodia,Asia,South-Eastern Asia
CMR,Cameroon,Africa,Middle Africa
CAN,Canada,Americas,Northern America
CPV,Cabo Verde,Africa,Western Africa
CYM,Cayman Islands,Americas,Caribbean
CAF,Central African Republic,Africa,Middle Africa
TCD,Chad,Africa,Middle Africa
CHL,Chile,Americas,South America
CHN,China,Asia,Eastern Asia
COL,Colombia,Americas,South America
COM,Comoros,Africa,Eastern Africa
COG,Congo,Africa,Middle Africa
COD,Congo (Democratic Republic of the),Africa,Middle Africa
COK,Cook Islands,Oceania,Polynesia
CRI,Costa Rica,Americas,Central America
CIV,Côte d'Ivoire,Africa,Western Africa
HRV,Croatia,Europe,Southern Europe
CUB,Cuba,Americas,Caribbean
CUW,Curaçao,Americas,Caribbean
CYP,Cyprus,Asia,Western Asia
CZE,Czech Republic,Europe,Eastern Europe
DNK,Denmark,Europe,Northern Europe
DJI,Djibouti,Africa,Eastern Africa
DMA,Dominica,Americas,Caribbean
DOM,Dominican Republic,Americas,Caribbean
ECU,Ecuador,Americas,South America
EGY,Egypt,Africa,Northern Africa
SLV,El Salvador,Americas,Central America
GNQ,Equatorial Guinea,Africa,Middle Africa
ERI,Eritrea,Africa,Eastern Africa
EST,Estonia,Europe,Northern Europe
ETH,Ethiopia,Africa,Eastern Africa
FLK,Falkland Islands (Malvinas),Americas,South America
FRO,Faroe Islands,Europe,Northern Europe
FJI,Fiji,Oceania,Melanesia
FIN,Finland,Europe,Northern Europe
FRA,France,Europe,Western Europe
GUF,French Guiana,Americas,South America
PYF,French Polynesia,Oceania,Polynesia
GAB,Gabon,Africa,Middle Africa
GMB,Gambia,Africa,Western Africa
GEO,Georgia,Asia,Western Asia
DEU,Germany,Europe,Western Europe
GHA,Ghana,Africa,Western Africa
GIB,Gibraltar,Europe,Southern Europe
GRC,Greece,Europe,Southern Europe
GRL,Greenland,Americas,Northern America
GRD,Grenada,Americas,Caribbean
GLP,Guadeloupe,Americas,Caribbean
GUM,Guam,Oceania,Micronesia
GTM,Guatemala,Americas,Central America
GGY,Guernsey,Europe,Northern Europe
GIN,Guinea,Africa,Western Africa
GNB,Guinea-Bissau,Africa,Western Africa
GUY,Guyana,Americas,South America
HTI,Haiti,Americas,Caribbean
VAT,Holy See,Europe,Southern Europe
HND,Honduras,Americas,Central America
HKG,Hong Kong,Asia,Eastern Asia
HUN,Hungary,Europe,Eastern Europe
ISL,Iceland,Europe,Northern Europe
IND,India,Asia,Southern Asia
IDN,Indonesia,Asia,South-Eastern Asia
IRN,Iran (Islamic Republic of),Asia,Southern Asia
IRQ,Iraq,Asia,Western Asia
IRL,Ireland,Europe,Northern Europe
IMN,Isle of Man,Europe,Northern Europe
ISR,Israel,Asia,Western Asia
ITA,Italy,Europe,Southern Europe
JAM,Jamaica,Americas,Caribbean
JPN,Japan,Asia,Eastern Asia
JEY,Jersey,Europe,Northern Europe
JOR,Jordan,Asia,Western Asia
KAZ,Kazakhstan,Asia,Central Asia
KEN,Kenya,Africa,Eastern Africa
KIR,Kiribati,Oceania,Micronesia
PRK,Korea (Democratic People's Republic of),Asia,Eastern Asia
KOR,Korea (Republic of),Asia,Eastern Asia
KWT,Kuwait,Asia,Western Asia
KGZ,Kyrgyzstan,Asia,Central Asia
LAO,Lao People's Democratic Republic,Asia,South-Eastern Asia
LVA,Latvia,Europe,Northern Europe
LBN,Lebanon,Asia,Western Asia
LSO,Lesotho,Africa,Southern Africa
