2018,2019,2020,2021,2022
0.8,1.23,-1.28,1.26,5.38
2.8,0.69,1.42,2.7,15.73
2.35,-1.21,-0.12,10.93,16.93
2.28,0.9,2.4,12.25,40.14
10.83,7.41,5.06,7.82,10.69
3.04,0.87,-1.82,12.33,54.95
3.05,-1.43,2.88,-1.93,0.94
-0.72,1.4,-1.48,1.99,3.31
4.59,3.9,0.99,10.6,28.42
1.24,2.87,-2.61,-1.26,-1.06
0.81,0.19,0.58,1.76,2.87
2.59,0.48,-0.21,0.23,0.7
5.83,4.78,2.34,9.58,7.98
4.05,2.05,5.12,6.41,8.3
6.7,-2.2,1.49,18.85,24.19
1.35,-0.62,-0.2,8.58,22.99
4.29,2.23,2.86,9.01,20.88
2.26,1.3,-1.57,1.9,3.1
2.14,0.01,2.91,4.0,5.57
4.02,5.7,-1.13,5.13,14.74
4.34,-1.01,1.91,7.07,18.8
7.8,-2.0,-9.5,14.3,33.21
2.96,5.06,2.87,1.39,31.57
1.75,1.32,0.7,10.71,35.93
1.18,-0.29,0.26,11.54,42.62
3.9,-2.25,2.2,6.47,11.07
1.43,0.81,0.38,0.02,1.58
2.37,-1.24,-3.54,21.24,32.78
6.29,1.91,-3.72,18.44,68.17
17.04,10.95,20.08,15.89,19.34
1.55,2.99,0.16,9.62,30.92
2.07,-0.19,-1.17,3.01,5.35
2.38,1.74,-0.21,10.46,24.49
1.86,2.08,0.88,9.11,46.18
4.25,1.62,0.76,6.95,18.57
4.31,9.98,15.98,20.02,43.29
6.67,3.85,6.13,5.93,2.94
0.07,-0.48,-3.77,12.31,42.89
2.38,1.4,-0.06,4.82,4.72
4.37,6.55,0.41,3.3,4.81
5.6,0.9,-6.5,8.8,19.6
1.83,0.54,1.47,11.24,12.92
2.65,2.28,0.95,0.37,2.5
5.1,1.09,-1.03,12.29,41.7
12.9,24.12,23.88,26.86,29.53
6.48,2.76,2.4,7.38,17.53
2.07,-0.45,0.78,5.41,10.45
2.56,0.48,-8.21,14.08,48.83
6.31,1.3,2.14,5.31,8.18
3.53,1.55,-1.82,1.56,5.53
-0.12,1.37,-0.39,3.96,17.31
0.57,1.32,2.29,6.5,11.53
12.76,4.59,0.52,4.77,5.95
2.26,0.44,3.48,5.36,6.86
1.33,1.28,1.09,2.95,7.05
0.7,-2.6,0.19,1.64,5.31
9.14,-1.94,-4.7,6.83,15.45
8.81,8.0,-1.93,6.87,16.55
4.05,0.13,-3.4,14.33,57.35
3.18,1.61,-0.77,18.82,33.02
4.13,3.07,-2.41,10.5,48.62
-0.16,2.21,-4.7,1.11,1.87
3.91,2.43,2.6,13.71,5.49
0.01,-0.14,2.0,2.74,11.95
2.67,4.23,0.67,-0.98,5.34
7.82,18.84,17.37,3.51,11.24
13.03,8.7,2.92,2.35,14.52
5.49,2.41,-0.47,5.46,6.79
-1.78,-0.39,-2.99,-2.95,4.0
1.99,1.87,-1.73,1.57,1.95
3.52,2.07,-0.99,1.26,1.72
7.4,7.35,8.13,10.22,14.16
7.12,5.18,4.65,2.21,6.8
2.94,7.57,0.53,17.26,75.64
5.01,0.13,-3.49,44.52,29.15
3.06,0.86,2.93,8.55,16.83
6.21,8.49,6.16,10.04,12.19
0.64,-0.29,-4.07,-3.75,1.93
3.97,2.4,0.91,2.57,6.31
2.06,-0.38,7.49,12.14,30.26
2.19,-1.77,0.07,7.28,23.85
3.01,2.94,1.41,2.44,3.95
-3.9,-2.98,-4.57,-5.08,5.25
12.2,2.7,-7.4,15.2,32.83
3.98,4.67,3.02,5.4,6.66
0.32,0.48,0.91,2.53,2.3
-1.34,-0.99,-0.29,1.39,5.18
3.27,-0.67,-3.43,5.78,2.87
2.04,4.22,-0.03,55.8,135.08
4.01,1.2,2.6,0.06,18.95
3.72,3.11,-1.11,11.08,23.79
-0.83,0.82,0.85,-1.83,-1.97
1.03,0.42,0.78,0.6,12.1
2.41,0.95,0.51,5.98,26.01
4.8,4.8,4.74,0.0,0.0
15.79,13.6,4.74,4.97,5.8
11.97,7.92,12.4,17.72,67.62
5.79,2.92,4.04,4.13,3.66
6.06,5.91,-2.98,23.16,5.01
2.89,-2.11,7.18,7.95,7.09
94802.37,17687.47,1.79,1137.51,164.09
3.31,3.04,0.63,1.76,2.45
4.89,5.21,3.74,14.31,24.37
