2018,2019,2020,2021,2022
2.67,2.91,3.61,3.9,11.42
2.34,1.87,0.27,11.21,13.31
0.97,4.48,9.28,7.91,7.03
1.52,1.02,2.33,0.78,10.23
1.78,3.69,4.81,8.16,20.07
-10.99,-2.83,8.57,10.39,21.09
2.16,4.46,2.88,-0.39,8.21
2.05,-2.79,0.49,5.92,-0.7
3.37,-6.43,3.76,6.82,24.97
6.21,5.56,5.77,5.3,7.66
2.2,5.19,5.37,2.77,21.28
2.12,2.38,3.55,-0.08,10.04
4.06,6.36,4.27,9.62,17.22
-0.53,0.64,1.12,4.8,6.2
2.54,3.36,-0.65,0.61,1.64
0.87,4.86,9.07,12.72,11.79
1.69,-0.03,2.06,2.38,4.97
-0.5,1.39,3.73,7.14,9.04
0.81,3.68,2.4,2.2,9.63
1.26,0.11,0.09,-1.59,1.45
3.06,2.38,6.74,5.41,16.99
1.84,9.35,10.68,-1.7,2.61
-0.49,1.04,4.2,7.68,9.08
1.22,2.88,3.5,4.25,11.88
0.83,4.89,5.55,9.73,24.63
0.45,1.39,3.67,0.56,12.7
1.63,0.8,0.48,2.24,3.2
0.73,0.45,1.22,-0.38,7.77
1.31,2.82,4.54,0.8,15.89
2.28,1.2,2.26,3.16,12.09
0.04,1.39,0.64,0.58,11.16
3.61,3.75,6.35,9.87,11.18
1.74,0.64,0.22,10.13,13.72
-1.63,0.04,0.76,-0.85,4.93
13.3,7.08,-0.2,4.6,22.19
1.65,1.03,2.36,1.85,11.24
3.06,2.99,2.14,1.84,18.92
12.52,18.94,23.08,31.78,38.23
1.91,1.21,1.15,0.57,9.99
1.08,4.88,-2.38,6.5,5.35
1.97,2.45,2.03,0.62,6.76
1.85,3.1,1.67,1.35,5.25
2.08,10.93,0.72,0.3,10.35
2.32,8.16,10.59,10.81,18.17
7.82,7.86,11.84,10.31,29.0
13.36,11.36,12.7,15.78,13.24
0.4,-4.7,1.36,1.36,11.41
7.23,7.82,6.37,4.79,8.62
3.35,4.86,3.29,1.41,4.63
3.52,2.17,4.68,2.9,13.1
0.99,-0.12,1.93,1.62,15.03
4.15,5.11,7.25,3.45,25.72
1.67,3.58,8.75,3.69,7.25
-2.03,-0.67,-1.41,-0.25,6.45
23.13,55.71,27.77,59.22,58.62
2.49,3.8,4.9,3.51,6.97
0.92,2.08,-0.01,0.99,4.35
1.22,0.77,1.4,0.58,8.75
4.08,6.33,10.83,6.72,12.59
3.23,0.28,2.33,0.1,3.68
1.41,0.22,1.2,-0.05,4.66
4.73,8.09,10.44,10.77,18.47
1.55,7.96,9.13,8.45,12.8
-2.16,1.41,11.68,17.97,14.36
2.46,2.07,4.65,2.75,5.25
2.77,0.05,4.43,5.89,5.97
0.05,1.08,4.88,9.48,7.84
3.66,2.17,-2.21,-0.05,3.44
4.44,6.83,10.34,9.64,8.56
1.44,2.93,2.26,2.77,25.4
2.21,1.4,2.73,0.9,6.64
0.58,2.92,2.38,2.24,20.86
5.51,7.61,7.35,7.11,32.48
10.86,4.82,3.81,7.44,7.74
-1.08,-0.79,2.73,1.8,4.48
4.8,4.39,6.62,7.23,13.29
0.82,1.62,2.41,3.13,18.87
2.16,-5.37,2.5,5.18,14.32
2.92,3.62,2.14,2.35,10.02
0.01,3.28,7.6,10.94,12.43
4.2,2.72,2.19,5.79,13.0
5.81,0.72,6.22,4.33,14.5
1.63,1.65,1.27,1.77,5.3
3.18,4.3,5.22,5.73,7.18
-0.57,-4.59,-0.21,7.47,8.15
-0.57,-4.59,-0.21,7.47,8.15
14.32,13.68,16.08,20.3,20.06
4.18,4.58,5.13,6.38,15.64
0.79,4.05,1.9,-0.21,10.15
2.53,1.07,3.27,-2.03,6.1
-0.24,1.08,3.18,1.76,7.6
-0.7,1.21,1.25,0.83,5.24
2.19,11.63,15.38,10.51,22.68
-0.64,0.49,-0.82,1.64,3.38
6.85,2.06,2.73,4.56,5.47
0.81,3.01,2.23,4.36,5.68
2.56,4.85,4.73,3.18,14.81
0.74,0.32,2.09,0.74,12.33
3.9,1.16,1.21,9.22,16.65
-0.05,0.02,0.26,2.67,4.76
3.75,4.7,4.8,2.81,15.73
1.62,5.05,3.9,9.6,12.85
2.88,3.72,15.4,-4.15,25.02
6.48,2.07,9.0,5.39,3.67
1.06,0.98,3.3,2.78,13.94
1.44,1.53,1.86,1.6,4.92
17.7,8.81,8.55,16.96,26.77
0.53,1.16,1.58,2.27,12.17
3.9,4.0,2.52,1.83,17.67
2.67,1.6,3.52,-0.2,11.63
2.37,34.36,2.14,0.41,10.65
-1.86,-5.39,9.44,-1.63,5.93
0.31,-0.52,3.39,9.83,12.07
0.41,2.31,1.23,-0.13,6.49
9.1,1.73,1.9,7.24,10.24
1.12,0.57,2.8,4.4,9.04
7.25,6.87,4.66,6.34,9.72
17.96,19.54,13.85,24.28,85.17
2.96,2.86,4.79,4.26,6.87
-1.19,-0.2,1.76,0.67,12.64
11.15,8.0,2.74,10.79,25.26
8.34,8.76,13.76,6.8,10.95
1.4,0.89,3.51,3.47,11.35
38386.0,17710.79,2220.0,1934.56,193.71
3.24,4.07,9.44,0.73,1.96
3.58,3.55,4.39,6.1,8.97
7.14,10.44,16.24,27.71,15.68
14.59,86.12,601.02,105.8,63.31
