2018,2019,2020,2021,2022
3.58,4.26,1.22,0.74,6.04
19.63,17.08,21.02,23.85,21.35
2.03,1.41,1.62,2.04,6.73
3.06,-1.93,-2.08,0.18,5.22
34.28,53.55,42.02,48.41,72.43
2.52,1.44,1.21,7.18,8.78
1.21,1.48,1.06,1.63,8.52
1.91,1.61,0.85,2.82,6.5
2.0,1.49,1.38,2.77,8.5
2.33,2.71,2.76,6.65,13.85
-2.81,-0.71,7.32,8.31,17.34
2.05,1.25,0.74,2.44,9.6
0.83,-0.93,3.02,5.92,1.31
1.96,-3.23,1.88,3.85,14.29
5.55,5.47,5.69,5.31,7.7
2.81,2.46,1.67,2.79,15.33
2.08,1.0,-2.32,-0.61,3.61
2.23,1.34,0.04,2.91,5.66
1.27,0.62,-1.05,1.98,13.66
4.87,5.6,5.55,9.46,15.21
0.24,0.19,0.12,3.26,6.18
2.27,1.84,0.94,0.74,1.75
3.66,3.73,3.21,8.3,9.3
3.69,4.1,2.88,3.06,9.9
0.15,-0.42,1.94,1.74,3.81
2.72,2.6,5.63,7.33,12.62
3.22,2.85,1.89,7.24,11.59
1.61,2.68,2.3,4.26,6.53
3.3,5.7,1.0,0.76,8.2
2.27,1.95,0.72,3.4,6.8
0.94,0.36,-0.73,0.58,2.8
2.44,2.25,3.05,4.52,11.6
2.07,2.9,2.42,0.9,1.97
0.43,0.81,2.43,4.09,5.28
1.07,2.45,2.44,2.27,5.11
29.27,4.7,11.5,8.99,8.44
1.15,2.21,2.49,1.97,3.5
3.24,3.52,2.52,3.5,10.2
1.75,3.7,3.0,-0.18,11.44
1.25,1.11,0.61,1.86,6.5
2.22,2.1,0.72,1.73,8.28
1.43,0.56,-0.64,0.49,8.4
2.15,2.86,3.16,3.84,15.1
1.73,1.35,0.51,3.14,7.9
0.15,3.32,2.88,1.18,6.59
0.99,1.61,-0.3,1.57,5.28
0.81,0.73,0.42,1.85,7.7
3.56,1.81,3.78,8.24,8.81
3.51,1.95,2.42,7.23,9.96
-0.22,0.27,-0.34,0.13,3.47
14.4,13.88,5.7,5.21,13.89
-14.4,-16.36,4.91,6.64,7.35
1.68,0.7,-0.32,3.09,8.4
3.44,2.27,-0.44,4.65,19.4
13.84,15.81,20.35,26.84,33.89
1.08,1.14,0.29,2.19,7.1
4.08,1.77,-2.6,0.16,4.52
1.85,1.3,0.48,1.64,5.2
1.5,1.86,0.48,2.09,5.79
4.78,2.02,1.37,1.08,4.23
2.32,1.79,0.99,2.5,7.9
2.62,4.85,5.2,9.57,11.9
9.84,7.18,9.95,9.97,31.92
9.83,9.47,10.6,12.6,12.72
6.52,7.12,5.93,7.37,11.31
1.44,0.25,1.46,3.27,5.52
1.08,1.21,4.77,-0.09,5.14
0.63,0.52,-1.25,1.22,9.6
0.81,0.6,-0.74,1.22,1.22
3.75,3.7,3.21,4.26,6.89
1.27,2.09,0.72,3.32,7.59
2.41,2.87,0.33,1.57,1.88
4.34,4.36,3.47,4.48,9.09
1.5,0.77,0.28,2.55,10.78
12.89,17.31,22.8,15.94,26.82
2.85,3.37,3.33,5.11,14.6
3.2,2.82,1.92,1.56,4.21
4.86,4.76,6.62,4.89,6.69
0.49,0.88,-0.33,2.36,7.8
17.95,41.02,36.5,43.39,42.44
0.63,-0.2,0.57,6.04,5.14
2.68,3.01,2.85,4.44,8.3
0.81,0.84,-0.59,1.49,4.4
1.14,0.63,-0.14,1.87,8.2
3.73,3.91,5.23,5.86,10.35
4.46,0.68,0.33,1.35,4.23
0.98,0.48,-0.02,-0.23,2.5
6.02,5.24,6.75,8.0,14.99
4.69,5.2,5.4,6.11,7.66
1.54,1.14,6.33,11.91,13.92
2.39,2.01,2.94,2.92,6.07
0.59,-1.88,2.48,3.0,5.6
-0.23,-0.18,-0.59,0.2,3.78
1.48,0.38,0.54,2.5,5.09
0.57,1.1,1.0,3.42,3.98
2.03,3.32,5.13,3.76,22.96
6.07,2.89,84.86,154.76,171.2
23.56,26.97,11.89,7.82,6.91
-1.2,4.56,22.26,2.77,5.52
1.99,0.54,0.34,2.38,6.4
2.14,4.3,6.15,7.01,50.43
4.01,5.19,4.98,6.05,8.31
2.7,2.24,1.2,4.68,19.7
1.53,1.65,0.82,2.53,6.3
2.53,2.75,0.22,3.28,17.3
3.0,2.75,0.81,0.03,1.05
1.79,0.24,0.71,1.4,6.66
3.05,4.85,3.77,5.11,28.74
7.29,5.62,4.2,5.82,9.8
1.37,1.31,-1.37,0.54,2.18
4.9,3.63,3.4,5.69,7.9
1.46,0.77,1.2,3.23,14.2
1.73,-2.89,0.44,3.93,9.99
1.16,1.52,0.64,1.5,6.15
6.0,8.63,6.11,5.03,16.75
2.6,0.37,-0.26,2.41,13.05
6.83,7.26,3.69,7.1,15.15
3.92,2.79,3.63,5.69,10.28
3.07,2.31,2.39,3.77,7.1
3.21,0.45,2.58,4.03,10.77
9.22,9.38,8.63,9.34,18.45
0.97,0.66,-1.14,2.48,3.38
4.28,3.72,2.21,3.62,6.08
3.01,-2.52,2.76,3.84,4.23
12.1,11.4,13.25,16.95,18.85
4.94,5.38,3.68,4.93,10.47
1.7,2.67,1.27,2.68,10.0
2.76,2.17,1.29,3.48,5.8
4.15,4.64,5.05,3.6,6.26
1.6,1.62,1.71,3.94,6.28
0.88,0.13,-0.9,1.55,2.81
5.07,6.74,9.74,9.5,19.87
0.77,-0.35,-1.55,1.63,2.86
1.32,2.14,1.83,4.27,7.88
5.26,2.48,2.64,3.93,5.82
1.57,0.61,0.22,0.45,12.2
4.73,3.68,3.37,4.49,6.6
