2018,2019,2020,2021,2022
1.54,1.49,0.44,1.41,5.05
1.81,1.65,1.9,2.15,5.28
3.7,1.17,1.3,7.23,8.28
1.31,3.77,1.48,1.61,4.42
3.28,3.52,2.23,5.1,8.94
2.02,2.29,1.29,2.4,5.03
0.37,0.46,-0.25,0.36,1.71
1.72,2.21,2.29,3.82,8.97
3.35,3.44,2.25,2.07,6.22
2.1,2.38,1.31,0.88,1.88
1.86,2.22,3.63,4.99,12.18
1.31,1.49,0.96,2.13,3.72
0.65,0.76,0.93,1.2,3.87
2.58,2.14,3.63,5.92,7.07
0.93,0.96,0.57,0.57,3.62
2.3,2.12,0.15,2.78,9.5
0.68,0.83,0.5,1.73,3.97
1.01,0.74,0.97,0.96,2.72
1.9,1.7,1.5,2.3,5.26
22.3,-2.43,-0.67,-0.62,3.17
2.72,3.04,2.41,3.0,4.25
3.85,4.04,3.98,4.59,7.92
0.86,0.91,1.0,1.61,6.12
2.48,3.78,3.05,4.55,9.8
0.14,1.13,0.27,1.8,4.67
2.53,2.93,2.89,4.38,7.67
0.68,0.9,-0.14,1.25,3.85
0.61,0.6,0.49,0.8,2.79
0.19,0.45,0.11,-0.73,0.19
1.17,0.89,0.35,1.37,3.56
2.18,2.41,3.06,3.5,10.05
0.88,1.8,1.29,1.57,4.04
2.25,2.78,1.22,1.88,6.85
1.8,0.58,0.54,1.59,5.42
3.82,3.71,3.2,3.86,5.95
1.79,1.77,3.06,4.48,7.3
11.19,9.76,10.85,13.75,15.53
1.31,7.17,2.17,1.92,4.08
1.2,2.59,3.14,1.66,3.49
1.15,1.84,2.31,3.71,5.74
2.33,2.39,1.78,2.4,5.51
3.92,3.03,3.22,3.59,4.43
0.74,1.89,3.88,4.1,8.85
0.67,0.49,-0.04,0.75,5.45
3.2,2.63,2.7,4.57,7.54
3.06,-0.36,3.55,4.9,1.19
1.68,1.04,-0.16,0.93,3.91
0.19,0.07,0.32,2.11,4.88
2.48,1.92,2.16,4.11,10.4
1.2,1.69,0.69,1.08,5.65
1.09,1.52,1.19,1.3,5.47
0.53,0.36,0.07,0.0,0.54
0.98,1.12,0.09,1.52,3.96
7.49,6.91,6.66,5.68,7.14
16.46,13.45,11.19,18.28,57.52
0.95,0.3,0.22,1.27,1.77
2.14,2.19,1.7,3.57,6.22
