2018,2019,2020,2021,2022
0.08,0.63,2.98,9.87,3.54
5.21,1.01,-3.71,5.74,6.74
2.38,0.11,-1.59,7.95,19.89
5.21,1.02,-3.71,17.34,38.21
3.95,3.07,-1.9,15.29,38.76
1.86,0.94,-0.76,12.24,15.72
11.28,29.17,17.83,35.41,19.05
3.85,-0.12,-0.46,13.88,13.49
1.41,-0.32,-0.55,1.22,4.16
3.59,-0.47,-1.83,1.65,8.74
5.14,4.34,3.22,8.67,18.29
3.3,2.6,0.14,2.74,8.93
2.33,2.46,-2.52,6.57,21.55
2.05,2.56,0.11,5.75,13.5
1.86,0.94,-0.76,7.48,23.76
4.3,-0.65,-2.74,13.64,34.18
1.31,-0.12,-0.96,0.87,6.79
2.41,-0.31,-3.55,14.83,35.15
2.64,-0.19,-2.44,12.47,30.16
4.7,0.31,-4.65,12.71,25.16
2.38,0.48,-1.92,8.67,24.19
3.7,0.82,-0.06,5.04,17.17
6.11,7.18,11.75,16.72,14.46
5.21,1.01,5.32,13.75,39.92
2.12,0.7,-3.32,8.03,21.12
5.51,2.13,4.23,13.5,22.12
4.27,1.88,0.47,10.77,13.56
-1.77,-1.48,-8.72,-0.93,10.82
3.33,-1.11,-4.9,6.83,13.78
3.29,0.18,56.14,6.22,14.41
2.51,4.12,3.0,4.75,8.51
18.96,5.09,-7.93,32.46,29.82
1.48,4.27,20.8,11.97,6.6
5.21,1.01,-0.46,6.38,9.01
5.62,-0.08,-8.88,9.62,26.35
4.56,-1.87,-1.95,11.32,27.94
4.39,1.75,-1.87,13.07,29.78
5.47,2.92,4.78,7.09,9.29
0.89,2.09,0.65,11.13,18.99
4.36,2.18,0.32,3.21,5.8
1.75,2.42,-0.04,1.29,10.76
-1.14,-1.35,-2.66,9.46,8.7
2.98,0.93,1.59,12.52,26.3
14.82,-3.57,-10.16,37.75,64.26
4.21,2.24,21.3,5.71,5.77
1.63,1.18,0.22,9.35,11.25
0.68,1.63,-4.04,-1.78,5.91
2.07,1.43,-0.53,8.04,22.18
2.67,0.02,-4.18,8.87,23.0
2.7,1.42,2.74,8.64,16.32
5.03,3.95,0.0,14.9,47.93
12.15,1.98,-3.76,24.47,19.96
4.41,-3.32,-6.92,15.22,22.02
1.57,0.94,-0.21,3.09,5.62
2.23,0.63,-1.19,8.62,15.98
2.52,1.91,-1.52,6.8,29.48
2.07,0.68,-0.24,5.54,19.1
6.6,2.97,-0.25,10.69,22.15
0.38,-0.96,-1.6,4.72,10.9
2.18,1.79,5.45,3.83,15.21
7.94,5.98,1.86,9.27,10.78
27.01,17.56,12.14,43.86,130.85
17.58,4.14,-1.88,40.82,61.05
9.67,12.78,10.46,14.42,14.19
2.9,1.69,-2.12,8.95,7.91
5.45,4.62,2.49,7.12,14.36
