Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,Americas,Caribbean,3.87,5.51,2.08,6.69,7.43,5.51,13.79,-8.2,9.43,7.16,0.81,-7.46,1.57,3.8,-2.47,-3.2,0.8,1.23,-1.28,1.26,5.38
ALB,Albania,Europe,Southern Europe,11.9,4.5,27.2,25.0,5.7,7.1,3.87,1.75,3.62,2.76,0.9,0.24,1.33,-0.52,0.04,1.0,2.8,0.69,1.42,2.7,15.73
AUS,Australia,Oceania,Australia and New Zealand,3.25,4.29,4.01,3.82,3.34,4.08,6.24,5.43,5.49,4.43,3.94,4.67,3.04,2.54,1.68,2.89,2.35,-1.21,-0.12,10.93,16.93
AUT,Austria,Europe,Western Europe,0.85,1.34,3.56,5.43,4.28,4.63,2.71,1.82,2.58,3.31,3.23,2.39,1.59,1.19,0.83,1.73,2.28,0.9,2.4,12.25,40.14
BDI,Burundi,Africa,Eastern Africa,3.37,3.9,4.04,10.29,8.12,10.81,15.93,11.83,9.76,6.12,31.81,6.37,6.96,3.69,0.97,7.41,10.83,7.41,5.06,7.82,10.69
BEL,Belgium,Europe,Western Europe,0.59,1.08,3.14,5.32,4.67,1.48,11.58,-3.91,3.39,8.06,3.73,-0.61,-1.41,0.4,2.14,3.74,3.04,0.87,-1.82,12.33,54.95
BEN,Benin,Africa,Western Africa,3.35,5.23,1.45,7.56,7.0,-0.38,4.88,2.69,2.19,2.06,1.65,-0.51,0.97,-0.11,-0.77,1.06,3.05,-1.43,2.88,-1.93,0.94
BFA,Burkina Faso,Africa,Western Africa,5.78,4.9,0.83,0.21,4.7,-1.33,12.06,10.73,2.96,3.82,4.11,2.79,2.84,3.05,0.66,-0.35,-0.72,1.4,-1.48,1.99,3.31
BGR,Bulgaria,Europe,Eastern Europe,14.77,11.62,7.67,5.5,4.62,5.97,12.01,6.45,0.48,2.23,7.37,-0.59,-2.02,3.42,0.03,3.18,4.59,3.9,0.99,10.6,28.42
BHR,Bahrain,Asia,Western Asia,0.0,-0.3,0.1,-0.1,0.1,2.24,2.24,2.24,-1.22,-12.4,-3.28,8.73,4.89,4.61,3.03,3.48,1.24,2.87,-2.61,-1.26,-1.06
BLZ,Belize,Americas,Central America,-1.07,3.68,5.19,4.16,4.87,1.36,3.59,-3.87,3.02,3.02,3.02,0.38,1.59,-0.11,0.56,0.76,0.81,0.19,0.58,1.76,2.87
BOL,Bolivia (Plurinational State of),Americas,South America,4.4,4.9,4.0,3.6,2.57,3.8,5.38,2.5,2.58,5.45,5.01,4.39,5.82,5.01,3.66,4.8,2.59,0.48,-0.21,0.23,0.7
BRA,Brazil,Americas,South America,12.04,13.42,8.62,6.54,4.63,2.09,3.3,5.88,4.85,6.29,6.75,3.36,7.79,16.76,7.22,4.23,5.83,4.78,2.34,9.58,7.98
BWA,Botswana,Africa,Southern Africa,6.1,2.6,6.1,17.5,4.89,4.72,13.5,-1.5,12.7,8.47,7.67,4.32,3.9,7.08,8.42,9.52,4.05,2.05,5.12,6.41,8.3
CAN,Canada,Americas,Northern America,-2.6,9.0,3.2,6.5,5.1,2.3,7.0,-7.1,6.64,12.25,1.69,1.5,3.53,-9.57,1.43,1.56,6.7,-2.2,1.49,18.85,24.19
CHE,Switzerland,Europe,Western Europe,0.09,0.43,1.62,2.97,2.75,2.13,4.87,-1.15,2.44,2.4,0.83,0.12,1.04,-0.64,-0.06,1.21,1.35,-0.62,-0.2,8.58,22.99
CHL,Chile,Americas,South America,2.76,5.29,3.21,3.72,4.68,7.12,14.44,0.79,1.21,6.84,0.32,2.61,6.28,5.16,5.47,3.62,4.29,2.23,2.86,9.01,20.88
CHN,China,Asia,Eastern Asia,-0.05,2.17,4.98,5.42,4.73,4.38,5.6,-3.5,4.35,5.48,2.1,2.88,2.1,0.65,1.27,2.63,2.26,1.3,-1.57,1.9,3.1
CIV,Côte d'Ivoire,Africa,Western Africa,3.79,6.49,1.61,8.54,1.7,-0.45,4.48,-1.14,2.4,1.87,1.98,2.07,1.65,1.47,0.21,1.29,2.14,0.01,2.91,4.0,5.57
COL,Colombia,Americas,South America,3.93,5.75,5.35,4.28,3.95,4.39,5.79,5.46,3.72,3.51,3.63,2.81,3.25,4.06,5.93,4.54,4.02,5.7,-1.13,5.13,14.74
CRI,Costa Rica,Americas,Central America,8.21,7.21,16.95,11.94,11.42,9.1,13.91,16.59,8.64,3.96,7.07,16.74,2.87,-2.16,1.15,1.23,4.34,-1.01,1.91,7.07,18.8
CYP,Cyprus,Asia,Western Asia,6.9,12.3,11.3,12.9,8.9,2.0,13.9,-15.7,19.6,18.1,14.1,-0.4,-3.2,-14.8,-9.5,8.4,7.8,-2.0,-9.5,14.3,33.21
CZE,Czech Republic,Europe,Eastern Europe,5.98,1.95,3.53,4.18,6.19,3.42,10.28,7.25,1.65,2.8,4.96,1.76,-1.39,1.04,0.6,1.65,2.96,5.06,2.87,1.39,31.57
DEU,Germany,Europe,Western Europe,0.91,1.51,1.53,2.82,2.94,1.92,3.42,0.42,0.99,3.08,2.23,1.97,0.85,-0.41,0.0,1.24,1.75,1.32,0.7,10.71,35.93
DNK,Denmark,Europe,Northern Europe,2.89,2.47,2.42,3.17,2.9,2.13,4.04,1.95,3.73,3.84,2.6,1.98,1.5,0.05,0.81,1.23,1.18,-0.29,0.26,11.54,42.62
DOM,Dominican Republic,Americas,Caribbean,12.96,36.82,25.26,9.79,11.82,3.6,5.44,8.03,10.72,13.79,1.98,2.78,2.94,-4.48,2.0,5.32,3.9,-2.25,2.2,6.47,11.07
ECU,Ecuador,Americas,South America,46.74,28.7,11.4,3.39,4.8,2.32,4.51,2.16,2.53,2.16,2.56,2.2,3.71,5.53,3.46,2.03,1.43,0.81,0.38,0.02,1.58
ESP,Spain,Europe,Southern Europe,2.27,2.89,3.5,5.32,6.52,3.66,6.64,1.29,3.53,7.23,5.06,0.91,1.34,-2.1,-4.24,3.93,2.37,-1.24,-3.54,21.24,32.78
EST,Estonia,Europe,Northern Europe,8.22,3.01,4.09,6.98,10.36,14.58,15.81,1.02,2.94,5.86,8.99,8.83,-1.43,-1.46,-1.72,2.15,6.29,1.91,-3.72,18.44,68.17
ETH,Ethiopia,Africa,Eastern Africa,1.51,4.61,7.54,12.76,16.54,13.74,22.05,15.01,18.0,20.81,16.73,11.47,11.06,8.74,12.35,12.77,17.04,10.95,20.08,15.89,19.34
FIN,Finland,Europe,Northern Europe,1.9,10.7,2.8,5.4,6.5,3.8,17.5,-3.1,10.65,6.31,1.72,0.34,1.21,0.82,0.55,1.3,1.55,2.99,0.16,9.62,30.92
FJI,Fiji,Oceania,Melanesia,-2.9,2.7,8.3,14.3,6.6,-0.9,12.2,-5.3,5.2,20.87,1.64,0.75,0.15,-4.47,-5.03,1.99,2.07,-0.19,-1.17,3.01,5.35
FRA,France,Europe,Western Europe,1.64,2.7,2.79,4.75,4.66,2.97,4.74,-0.11,3.3,4.45,3.4,2.43,1.76,0.41,-0.11,1.6,2.38,1.74,-0.21,10.46,24.49
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,2.4,1.61,2.12,3.29,4.67,3.41,4.7,2.18,-0.36,2.71,2.72,2.35,2.0,1.25,1.68,2.04,1.86,2.08,0.88,9.11,46.18
GEO,Georgia,Asia,Western Asia,8.0,0.6,6.7,2.7,26.5,13.7,10.0,1.72,7.11,2.58,0.77,-0.92,4.17,3.87,3.49,1.62,4.25,1.62,0.76,6.95,18.57
GHA,Ghana,Africa,Western Africa,27.01,60.82,12.59,23.96,20.02,16.08,17.8,4.57,10.26,10.61,7.88,20.54,46.97,25.48,30.67,7.1,4.31,9.98,15.98,20.02,43.29
GIN,Guinea,Africa,Western Africa,8.9,6.57,9.03,25.16,22.47,33.86,15.56,8.85,9.54,9.95,12.73,15.09,7.16,8.41,6.02,3.85,6.67,3.85,6.13,5.93,2.94
GRC,Greece,Europe,Southern Europe,3.32,4.43,4.79,8.88,6.49,3.06,8.61,-2.68,6.93,8.91,7.87,5.54,-2.29,-6.47,-3.18,2.17,0.07,-0.48,-3.77,12.31,42.89
GTM,Guatemala,Americas,Central America,3.6,5.6,8.3,6.6,6.8,4.4,10.6,-2.23,6.59,5.32,0.3,4.23,1.94,-6.28,2.44,2.14,2.38,1.4,-0.06,4.82,4.72
HND,Honduras,Americas,Central America,14.86,12.91,9.88,8.09,6.55,5.9,9.23,6.86,8.99,8.35,5.19,5.28,4.92,2.23,2.1,5.53,4.37,6.55,0.41,3.3,4.81
HRV,Croatia,Europe,Southern Europe,2.2,3.0,5.0,7.0,4.2,0.8,8.0,-2.8,9.9,7.0,10.8,1.8,0.7,-5.9,-5.7,-0.1,5.6,0.9,-6.5,8.8,19.6
HUN,Hungary,Europe,Eastern Europe,5.5,7.3,14.1,6.2,6.4,24.6,9.37,7.64,5.51,4.61,5.78,-5.36,-8.41,-1.19,0.55,1.12,1.83,0.54,1.47,11.24,12.92
IDN,Indonesia,Asia,South-Eastern Asia,14.55,11.74,7.78,9.09,10.63,4.95,8.57,5.03,2.96,4.18,3.36,4.89,5.91,6.31,1.79,4.99,2.65,2.28,0.95,0.37,2.5
IRL,Ireland,Europe,Northern Europe,1.11,-0.67,4.26,10.42,16.03,20.34,9.67,-21.94,1.29,9.74,0.6,0.67,-0.03,1.6,-0.48,2.03,5.1,1.09,-1.03,12.29,41.7
IRN,Iran (Islamic Republic of),Asia,Southern Asia,15.5,15.4,11.2,6.0,13.25,21.19,28.17,17.02,5.84,16.72,13.58,19.27,18.53,16.01,7.89,6.42,12.9,24.12,23.88,26.86,29.53
