Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALB,Albania,Europe,Southern Europe,6.3,4.3,-0.1,-0.5,1.0,2.99,5.23,4.91,4.81,4.75,2.34,4.24,2.2,4.32,3.25,3.91,2.67,2.91,3.61,3.9,11.42
ARM,Armenia,Asia,Western Asia,2.2,6.9,10.0,0.8,4.1,6.7,11.1,-0.9,9.4,12.3,1.99,5.81,0.51,27.85,-22.03,3.99,2.34,1.87,0.27,11.21,13.31
AUS,Australia,Oceania,Australia and New Zealand,3.57,3.65,2.34,2.38,7.79,2.33,4.67,3.73,1.55,4.83,-1.63,0.8,2.54,0.92,0.82,0.71,0.97,4.48,9.28,7.91,7.03
AUT,Austria,Europe,Western Europe,1.34,1.79,1.92,1.24,1.88,4.21,6.29,0.2,0.48,4.24,3.19,3.47,1.94,0.83,0.73,2.37,1.52,1.02,2.33,0.78,10.23
AZE,Azerbaijan,Asia,Western Asia,3.7,3.3,10.0,10.9,12.0,16.3,28.5,-1.5,7.24,10.44,0.84,2.32,0.9,6.07,14.75,16.52,1.78,3.69,4.81,8.16,20.07
BDI,Burundi,Africa,Eastern Africa,-5.72,13.83,10.87,17.82,0.53,8.9,34.22,11.07,6.2,9.15,13.69,9.5,2.3,5.79,7.18,23.96,-10.99,-2.83,8.57,10.39,21.09
BEL,Belgium,Europe,Western Europe,2.36,2.05,1.26,1.77,2.56,3.91,6.08,0.85,1.66,2.72,3.1,3.42,-0.38,1.2,2.24,1.26,2.16,4.46,2.88,-0.39,8.21
BEN,Benin,Africa,Western Africa,5.5,-2.3,-0.7,9.2,-0.5,-1.1,18.0,5.6,5.6,5.66,4.69,2.56,-0.77,0.41,-0.46,-0.05,2.05,-2.79,0.49,5.92,-0.7
BFA,Burkina Faso,Africa,Western Africa,3.1,-1.7,-4.8,14.6,-0.2,-1.7,23.3,2.6,1.46,6.14,5.37,-0.35,-3.18,2.41,0.96,0.43,3.37,-6.43,3.76,6.82,24.97
BGD,Bangladesh,Asia,Southern Asia,2.0,5.8,7.5,8.0,7.6,10.5,11.0,5.5,10.1,12.38,3.38,7.93,7.91,6.05,4.51,7.17,6.21,5.56,5.77,5.3,7.66
