Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUS,Australia,Oceania,Australia and New Zealand,4.77,26.14,2.18,2.39,-12.31,31.31,3.83,2.12,58.17,2.45,2.11,1.13,2.57,2.33,27.38,5.54,1.54,1.49,0.44,1.41,5.05
AUT,Austria,Europe,Western Europe,2.16,1.41,1.78,1.69,0.92,1.62,1.94,1.77,1.41,2.35,2.09,2.07,1.98,1.85,1.47,1.97,1.81,1.65,1.9,2.15,5.28
ARM,Armenia,Asia,Western Asia,0.14,2.5,4.92,0.79,2.71,3.78,11.75,3.69,7.49,8.63,5.26,5.85,1.88,5.14,-2.02,0.7,3.7,1.17,1.3,7.23,8.28
BEL,Belgium,Europe,Western Europe,-8.18,24.44,1.87,2.14,0.61,1.63,1.94,1.94,1.4,1.81,2.24,1.35,1.57,1.37,1.96,1.52,1.31,3.77,1.48,1.61,4.42
BRA,Brazil,Americas,South America,8.38,13.08,7.92,7.45,4.52,3.56,4.92,5.18,5.03,6.48,5.6,5.81,6.49,8.61,7.61,4.47,3.28,3.52,2.23,5.1,8.94
CAN,Canada,Americas,Northern America,2.68,2.42,1.34,1.36,1.27,2.04,1.06,1.69,1.34,1.43,1.35,0.83,1.56,2.55,2.02,1.78,2.02,2.29,1.29,2.4,5.03
CHE,Switzerland,Europe,Western Europe,0.63,-0.78,0.8,0.82,0.71,0.63,1.45,1.09,0.22,2.61,0.27,-0.85,-0.01,-0.35,-0.33,0.29,0.37,0.46,-0.25,0.36,1.71
CHL,Chile,Americas,South America,2.68,1.63,1.22,2.38,2.99,2.35,5.18,1.16,0.53,1.25,2.21,1.49,3.59,4.67,4.0,2.03,1.72,2.21,2.29,3.82,8.97
COL,Colombia,Americas,South America,5.78,6.44,5.66,4.62,3.72,5.79,5.61,4.66,2.83,2.88,3.31,2.48,2.77,4.19,6.58,5.06,3.35,3.44,2.25,2.07,6.22
CRI,Costa Rica,Americas,Central America,8.81,9.77,9.54,10.41,10.81,7.94,12.46,9.76,5.14,4.58,4.63,5.31,4.34,1.81,0.14,1.24,2.1,2.38,1.31,0.88,1.88
CZE,Czech Republic,Europe,Eastern Europe,0.56,-0.01,1.5,0.49,0.67,1.46,2.11,-0.84,0.09,1.07,0.78,0.06,0.75,0.15,0.51,2.57,1.86,2.22,3.63,4.99,12.18
DEU,Germany,Europe,Western Europe,1.56,0.94,1.71,1.06,1.13,1.94,1.44,1.27,0.71,0.92,1.28,1.26,1.37,1.67,1.21,1.23,1.31,1.49,0.96,2.13,3.72
DNK,Denmark,Europe,Northern Europe,2.52,2.32,1.3,1.38,1.4,1.41,13.46,2.26,1.84,1.81,1.9,1.21,0.87,-19.08,2.05,14.47,0.65,0.76,0.93,1.2,3.87
DOM,Dominican Republic,Americas,Caribbean,4.84,23.72,47.11,4.9,5.09,4.58,7.22,5.18,3.46,5.54,3.71,4.88,3.24,2.23,1.68,2.18,2.58,2.14,3.63,5.92,7.07
ESP,Spain,Europe,Southern Europe,2.84,2.9,35.36,2.48,2.75,44.43,1.04,-3.83,0.57,1.3,24.55,1.08,-0.05,0.52,0.84,1.13,0.93,0.96,0.57,0.57,3.62
EST,Estonia,Europe,Northern Europe,2.92,2.41,1.22,1.87,3.31,5.43,6.46,1.87,0.75,2.3,2.2,1.41,1.0,1.42,1.33,2.12,2.3,2.12,0.15,2.78,9.5
FIN,Finland,Europe,Northern Europe,1.54,0.61,-0.21,0.19,1.27,2.64,2.55,0.4,1.19,2.04,2.27,0.98,1.46,0.56,0.96,0.66,0.68,0.83,0.5,1.73,3.97
FRA,France,Europe,Western Europe,1.79,2.1,2.17,1.54,1.29,-11.35,14.63,-11.68,17.02,1.1,1.35,0.87,1.0,0.55,0.42,8.94,1.01,0.74,0.97,0.96,2.72
