Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARM,Armenia,Asia,Western Asia,3.59,8.86,20.97,7.58,0.92,0.65,3.33,7.07,22.57,9.12,6.98,4.72,8.47,-0.77,1.51,2.16,0.08,0.63,2.98,9.87,3.54
AUS,Australia,Oceania,Australia and New Zealand,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.5,7.08,8.91,3.72,-0.5,-3.47,-4.94,-1.43,8.49,5.21,1.01,-3.71,5.74,6.74
AUT,Austria,Europe,Western Europe,-1.14,-0.06,1.73,3.1,1.69,2.77,3.49,-1.56,2.74,4.06,0.88,-0.88,-1.1,-1.48,-1.83,1.96,2.38,0.11,-1.59,7.95,19.89
BEL,Belgium,Europe,Western Europe,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.5,7.08,8.91,3.72,-0.5,-3.47,-2.0,-1.42,8.49,5.21,1.02,-3.71,17.34,38.21
BGR,Bulgaria,Europe,Eastern Europe,1.29,4.94,5.97,8.11,12.89,7.57,10.32,-6.89,8.93,9.58,4.08,-1.63,-1.25,-1.98,-3.11,4.98,3.95,3.07,-1.9,15.29,38.76
BLR,Belarus,Europe,Eastern Europe,-1.83,3.01,1.22,3.23,4.01,1.22,4.14,-3.3,1.85,4.15,1.72,-0.19,-0.54,-0.54,-1.24,1.94,1.86,0.94,-0.76,12.24,15.72
BRA,Brazil,Americas,South America,16.66,27.56,10.46,5.56,0.81,5.6,13.7,-0.21,5.72,9.44,5.89,5.93,4.59,5.98,3.91,2.63,11.28,29.17,17.83,35.41,19.05
CAN,Canada,Americas,Northern America,0.06,-1.22,3.2,1.64,2.27,1.54,4.35,-3.5,1.5,6.94,1.1,0.41,2.49,-0.84,-0.2,3.13,3.85,-0.12,-0.46,13.88,13.49
CHE,Switzerland,Europe,Western Europe,-0.48,-0.7,0.68,1.09,2.03,2.31,3.05,-1.51,-0.16,-1.2,-0.46,0.19,-0.82,-3.57,-1.49,-0.47,1.41,-0.32,-0.55,1.22,4.16
CHN,China,Asia,Eastern Asia,-2.26,2.34,6.1,5.29,3.63,3.26,7.27,-5.07,6.26,6.44,-1.71,-1.9,-1.88,-5.19,-1.0,6.25,3.59,-0.47,-1.83,1.65,8.74
COL,Colombia,Americas,South America,5.29,9.13,5.16,3.14,4.18,1.02,7.22,1.94,-0.89,8.83,-0.08,-1.28,2.91,3.89,5.4,0.87,5.14,4.34,3.22,8.67,18.29
CRI,Costa Rica,Americas,Central America,7.68,11.68,16.72,15.32,13.91,13.85,25.45,1.74,3.0,9.46,3.77,2.46,4.47,1.29,-1.06,2.32,3.3,2.6,0.14,2.74,8.93
